Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,130.00,130.00,122.00,126.00,30571000,126.00
2013-09-02,148.50,151.50,128.00,131.00,22138200,131.00
2013-08-26,156.00,157.00,147.50,156.50,8645400,156.50
2013-08-19,156.00,157.50,145.00,155.00,7865800,155.00
2013-08-12,159.00,163.00,152.00,154.00,11474800,154.00
2013-08-05,148.50,160.50,147.00,159.00,17690600,159.00
2013-07-29,172.00,173.00,142.00,143.00,16401600,143.00
2013-07-22,168.00,180.00,163.00,175.00,19195400,175.00
2013-07-15,189.00,195.00,168.50,168.50,11839600,166.90
2013-07-08,195.00,196.50,181.50,191.50,20278800,189.68
2013-07-01,238.00,238.00,200.00,203.00,23657200,201.07
2013-06-24,245.50,248.00,236.00,239.00,11531200,236.73
2013-06-17,262.50,269.50,240.00,248.50,11595400,246.14
2013-06-10,276.00,279.50,258.50,260.50,7671200,258.03
2013-06-03,279.50,294.00,273.50,274.00,12913600,271.40
2013-05-27,279.00,283.50,276.50,276.50,7031600,273.87
2013-05-20,288.50,293.50,276.50,279.00,9610400,276.35
2013-05-13,277.00,294.50,277.00,285.00,10487200,282.29
2013-05-06,281.00,286.50,275.00,279.00,10768800,276.35
2013-04-29,285.00,305.00,277.50,279.50,23259400,276.85
2013-04-22,280.00,289.00,267.00,277.50,16909000,274.86
2013-04-15,264.00,287.00,255.00,279.50,15750800,276.85
2013-04-08,245.00,263.00,240.00,261.50,14659400,259.02
2013-04-01,244.50,246.50,240.00,246.50,3898000,244.16
2013-03-25,245.00,252.50,241.00,244.50,7850600,242.18
2013-03-18,233.00,250.00,233.00,240.00,11610600,237.72
2013-03-11,256.00,257.00,231.00,234.50,17364000,232.27
2013-03-04,281.00,283.50,254.50,259.50,18723200,257.04
2013-02-25,278.00,284.00,272.00,280.00,6766400,277.34
2013-02-18,275.00,286.50,272.00,278.00,11555200,275.36
2013-02-11,271.50,271.50,271.50,271.50,000,268.92
2013-02-04,288.00,289.00,258.00,271.50,12297000,268.92
2013-01-28,285.00,296.00,280.50,290.00,14282000,287.25
2013-01-21,287.50,292.50,278.50,284.00,12168000,281.30
2013-01-14,276.00,297.00,273.50,288.00,16199600,285.27
2013-01-07,284.00,291.00,273.00,277.00,17170800,274.37
2012-12-31,300.50,307.50,285.00,287.00,13540600,284.27
2012-12-24,280.00,304.50,277.00,300.50,15830400,297.65
2012-12-17,284.00,286.00,269.00,280.00,16397200,277.34
2012-12-10,268.00,290.00,268.00,283.00,21151200,280.31
2012-12-03,268.00,289.50,262.50,267.00,25008800,264.46
2012-11-26,243.00,272.50,243.00,266.00,24969600,263.47
2012-11-19,251.00,251.00,233.50,240.00,19884800,237.72
2012-11-12,241.50,254.00,225.00,248.50,30617400,246.14
2012-11-05,198.00,226.00,191.00,226.00,25556200,223.85
2012-10-29,219.50,219.50,194.50,197.00,21509000,195.13
2012-10-22,251.50,265.50,234.00,236.00,15760600,233.76
2012-10-15,254.50,261.00,245.50,257.00,11362200,254.56
2012-10-08,293.00,293.50,243.00,252.00,11534400,249.61
2012-10-01,285.00,299.00,285.00,289.50,12372400,286.75
2012-09-24,317.00,317.00,278.50,284.00,20489000,281.30
2012-09-17,299.50,325.00,299.50,317.00,27353800,313.99
2012-09-10,265.00,296.50,261.00,296.50,22523600,293.68
2012-09-03,259.00,265.50,253.00,262.00,15545200,259.51
2012-08-27,262.50,262.50,248.50,258.00,13572000,255.55
2012-08-20,240.00,267.50,238.00,262.50,15995800,260.01
2012-08-13,250.00,256.00,236.50,250.00,16199400,247.63
2012-08-06,258.50,258.50,230.50,248.00,15958000,245.65
2012-07-30,293.00,293.00,276.00,277.50,6504000,274.86
2012-07-23,292.00,293.50,275.50,290.00,10343000,287.25
2012-07-16,292.00,302.00,287.00,300.00,9590200,297.15
2012-07-09,312.00,315.50,288.00,288.00,18115400,285.27
2012-07-02,393.00,404.50,321.00,322.00,16931600,318.94
2012-06-25,384.00,391.00,367.00,389.50,8783000,354.70
2012-06-18,374.00,395.50,371.50,386.00,10502000,351.52
2012-06-11,341.00,369.00,337.00,369.00,15752600,336.04
2012-06-04,395.00,406.00,352.00,352.00,8879400,320.55
2012-05-28,408.50,446.00,408.50,414.00,10041800,377.02
2012-05-21,407.00,440.00,402.00,413.00,10038200,376.10
2012-05-14,430.00,444.00,398.00,400.50,10584800,364.72
2012-05-07,465.00,465.00,430.00,430.00,8164000,391.59
2012-04-30,425.00,474.00,418.50,471.50,6908200,429.38
2012-04-23,467.00,481.00,422.00,425.00,9759800,387.03
2012-04-16,530.00,530.00,455.00,462.00,11318400,420.73
2012-04-09,545.00,552.00,508.00,532.00,5819800,484.47
2012-04-02,599.00,605.00,530.00,585.00,5752200,532.74
2012-03-26,632.00,641.00,585.00,597.00,6330000,543.67
2012-03-19,616.00,635.00,606.00,629.00,4811800,572.81
2012-03-12,619.00,642.00,597.00,610.00,6938800,555.51
2012-03-05,653.00,659.00,603.00,619.00,6804200,563.70
2012-02-27,629.00,672.00,629.00,644.00,5711000,586.47
2012-02-20,580.00,644.00,566.00,629.00,10160800,572.81
2012-02-13,566.00,596.00,558.00,574.00,10920200,522.72
2012-02-06,585.00,586.00,513.00,562.00,16169800,511.79
2012-01-30,500.00,578.00,478.00,565.00,15663200,514.53
2012-01-23,488.50,488.50,488.50,488.50,000,444.86
2012-01-16,500.00,503.00,483.00,488.50,5373800,444.86
2012-01-09,470.00,482.00,446.50,481.00,10891400,438.03
2012-01-02,497.00,497.00,477.00,482.00,1631600,438.94
