Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,86.43,87.13,86.42,87.10,1811100,87.10
2013-09-03,85.77,86.64,84.84,86.13,1934200,86.13
2013-08-26,86.59,86.86,84.60,84.77,1867000,84.77
2013-08-19,85.65,86.56,85.12,86.48,2118500,86.48
2013-08-12,87.39,88.04,85.73,85.88,2285100,85.88
2013-08-05,88.51,88.69,87.29,87.79,1813700,87.79
2013-07-29,87.42,88.62,87.02,88.57,1982700,88.57
2013-07-22,87.69,88.00,86.79,87.54,2132100,87.54
2013-07-15,86.91,87.59,86.42,87.53,1880200,87.53
2013-07-08,84.71,86.83,84.56,86.69,2860700,86.69
2013-07-01,83.29,84.30,82.83,84.28,1873500,84.28
2013-06-24,81.11,83.40,80.19,82.67,3147000,82.67
2013-06-17,84.67,85.52,81.47,82.36,3624200,81.97
2013-06-10,85.15,85.16,83.03,84.10,2813500,83.71
2013-06-03,84.45,84.99,82.53,84.83,2780400,84.43
2013-05-28,86.03,86.42,84.20,84.27,2044200,83.88
2013-05-20,86.01,87.09,84.32,85.09,2088400,84.69
2013-05-13,84.19,86.09,83.96,86.08,1803000,85.68
2013-05-06,83.15,84.35,83.10,84.30,1681900,83.90
2013-04-29,81.71,83.38,81.38,83.04,2003600,82.65
2013-04-22,80.13,82.04,79.55,81.49,1301100,81.11
2013-04-15,81.45,81.45,78.93,79.98,2031900,79.61
2013-04-08,80.00,82.28,79.73,81.74,1598400,81.36
2013-04-01,80.95,81.06,79.14,79.96,2139100,79.59
2013-03-25,80.55,81.02,79.72,80.96,2155100,80.58
2013-03-18,80.14,80.93,79.69,80.29,1609700,79.91
2013-03-11,80.19,80.99,80.09,80.87,1463300,80.13
2013-03-04,78.24,80.36,78.10,80.27,1773200,79.53
2013-02-25,78.68,78.81,76.67,78.42,1875300,77.70
2013-02-19,78.71,79.16,77.25,78.31,2186200,77.59
2013-02-11,78.36,78.83,78.14,78.59,1512700,77.87
2013-02-04,77.64,78.38,77.13,78.38,2493200,77.66
2013-01-28,77.60,78.11,77.15,78.00,2229700,77.28
2013-01-22,76.50,77.53,76.33,77.51,3565700,76.80
2013-01-14,75.75,76.54,75.34,76.50,1754800,75.80
2013-01-07,75.18,75.80,74.70,75.77,1598600,75.07
2012-12-31,71.88,75.52,71.82,75.41,4636000,74.72
2012-12-24,73.20,73.35,71.94,71.98,2701200,71.32
2012-12-17,73.12,74.88,72.97,73.43,3882700,72.75
2012-12-10,72.99,74.14,72.80,72.89,1942300,71.69
2012-12-03,73.27,73.29,72.04,73.04,1605800,71.84
2012-11-26,72.06,73.05,71.24,72.88,2019600,71.68
2012-11-19,70.57,72.38,70.54,72.38,1580800,71.19
2012-11-12,70.99,71.27,68.90,69.75,2532200,68.60
2012-11-05,72.39,73.51,70.48,70.77,2212300,69.60
2012-10-31,72.58,73.63,72.00,72.47,1453100,71.28
2012-10-22,73.19,73.42,71.80,72.28,1438800,71.09
2012-10-15,73.17,74.87,72.94,73.29,1490700,72.08
2012-10-08,74.38,74.53,72.88,73.02,2104400,71.82
2012-10-01,73.99,75.25,73.55,74.70,1610100,73.47
2012-09-24,74.33,74.79,73.04,73.65,1378700,72.44
2012-09-17,75.37,75.43,74.51,75.04,1542400,73.45
2012-09-10,73.88,75.91,73.50,75.50,2327100,73.90
2012-09-04,72.14,73.96,71.62,73.96,1334900,72.39
2012-08-27,72.42,72.52,71.63,72.21,1007900,70.68
2012-08-20,72.53,73.11,71.60,72.25,1699900,70.71
2012-08-13,71.73,72.69,71.38,72.63,1204000,71.09
2012-08-06,71.13,71.88,71.08,71.86,1028300,70.33
2012-07-30,70.71,71.13,69.03,70.96,1335300,69.45
2012-07-23,68.66,70.94,67.90,70.77,1273800,69.27
2012-07-16,69.33,70.63,68.81,69.74,1334800,68.26
2012-07-09,69.40,69.82,67.82,69.47,1382600,67.99
2012-07-02,69.87,70.49,69.14,69.51,1521500,68.03
2012-06-25,67.48,69.70,66.84,69.70,2251300,68.22
2012-06-18,68.55,69.99,67.94,68.55,1593400,66.75
2012-06-11,68.65,68.85,66.97,68.77,1931300,66.97
2012-06-04,65.64,68.40,64.94,68.09,2123100,66.31
2012-05-29,68.26,68.69,65.57,65.60,1944500,63.88
2012-05-21,66.62,68.26,66.46,67.76,1548700,65.99
2012-05-14,69.01,69.32,66.30,66.42,2310000,64.68
2012-05-07,70.09,70.56,68.99,69.64,1841900,67.82
2012-04-30,72.00,72.79,70.23,70.28,1568400,68.44
2012-04-23,70.12,72.35,69.71,72.17,1746900,70.28
2012-04-16,70.75,71.56,70.04,70.82,1637600,68.96
2012-04-09,70.80,71.28,69.57,70.37,2449600,68.53
2012-04-02,72.26,73.06,71.50,71.77,1963200,69.89
2012-03-26,72.34,72.94,71.44,72.26,1931800,70.37
2012-03-19,72.41,72.99,71.45,72.11,1725700,69.92
2012-03-12,70.86,72.54,70.55,72.46,1547600,70.26
2012-03-05,70.44,71.01,68.97,70.82,1932900,68.67
2012-02-27,70.14,71.19,69.97,70.60,1884800,68.46
2012-02-21,70.58,70.78,69.82,70.61,1518900,68.47
2012-02-13,69.82,70.52,69.28,70.37,1818500,68.23
2012-02-06,69.24,69.96,69.03,69.31,1961900,67.21
2012-01-30,67.22,69.50,66.95,69.48,5659500,67.37
2012-01-23,67.53,68.60,67.01,67.86,2273300,65.80
2012-01-17,66.73,67.57,66.17,67.53,2481900,65.48
2012-01-09,65.53,66.51,65.19,66.15,1482400,64.14
2012-01-03,65.41,65.72,64.58,65.38,1666000,63.40
